Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiCertSync.csproj,,,System.Security.Cryptography.ProtectedData 9.0.8,,,,,"System.Security.Cryptography.ProtectedData, 9.0.8  Recommendation:  Remove System.Security.Cryptography.ProtectedData, and replace with new package System.Security.Cryptography.ProtectedData 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiCertSync.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,265,12,T:System.Uri,,,,,"sb.Append(hasQ ? '&' : '?').Append(""vdom="").Append(Uri.EscapeDataString(vdom));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,249,12,T:System.Net.Http.HttpContent,,,,,var body = await resp.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,210,8,"M:System.Security.Cryptography.X509Certificates.X509Certificate2Collection.Import(System.Byte[],System.String,System.Security.Cryptography.X509Certificates.X509KeyStorageFlags)",,,,,"collection.Import(pfxBytes, pfxPass, X509KeyStorageFlags.Exportable);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,188,16,T:System.Uri,,,,,"var cmdbUrl = Url($""/api/v2/cmdb/{r.Path}/{r.Name}/{Uri.EscapeDataString(r.Mkey)}/"", null, vdom);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,174,39,T:System.Net.Http.HttpContent,,,,,"throw new Exception($""Delete cert {name} failed: {(int)resp.StatusCode} {await resp.Content.ReadAsStringAsync()}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,172,8,T:System.Uri,,,,,"var url = Url($""/api/v2/cmdb/vpn.certificate/local/{Uri.EscapeDataString(name)}"", null, vdom);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,167,12,T:System.Net.Http.HttpContent,,,,,"throw new Exception($""Import cert '{mkey}' failed: {(int)resp.StatusCode} {await resp.Content.ReadAsStringAsync()}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,127,12,M:System.Security.Cryptography.X509Certificates.X500DistinguishedName.#ctor(System.String),,,,,var issuer = new X500DistinguishedName(x509.Issuer);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,118,12,M:System.Security.Cryptography.X509Certificates.X509Certificate2.#ctor(System.Byte[]),,,,,using var x509 = new X509Certificate2(Convert.FromBase64String(b64));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,79,12,T:System.Net.Http.HttpContent,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,79,12,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,79,12,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,71,12,T:System.Uri,,,,,"var url = Url($""/api/v2/cmdb/vpn.certificate/local/{Uri.EscapeDataString(name)}"", null, vdom);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,50,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,50,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,39,12,T:System.Security.Cryptography.DataProtectionScope,,,,,"var enc = ""enc:"" + Convert.ToBase64String(ProtectedData.Protect(Encoding.UTF8.GetBytes(token), null, DataProtectionScope.CurrentUser));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,39,12,T:System.Security.Cryptography.DataProtectionScope,,,,,"var enc = ""enc:"" + Convert.ToBase64String(ProtectedData.Protect(Encoding.UTF8.GetBytes(token), null, DataProtectionScope.CurrentUser));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,39,12,F:System.Security.Cryptography.DataProtectionScope.CurrentUser,,,,,"var enc = ""enc:"" + Convert.ToBase64String(ProtectedData.Protect(Encoding.UTF8.GetBytes(token), null, DataProtectionScope.CurrentUser));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,39,12,T:System.Security.Cryptography.ProtectedData,,,,,"var enc = ""enc:"" + Convert.ToBase64String(ProtectedData.Protect(Encoding.UTF8.GetBytes(token), null, DataProtectionScope.CurrentUser));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,39,12,"M:System.Security.Cryptography.ProtectedData.Protect(System.Byte[],System.Byte[],System.Security.Cryptography.DataProtectionScope)",,,,,"var enc = ""enc:"" + Convert.ToBase64String(ProtectedData.Protect(Encoding.UTF8.GetBytes(token), null, DataProtectionScope.CurrentUser));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,31,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,var h = new HttpClient { Timeout = TimeSpan.FromSeconds(30) };
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,27,8,T:System.Security.Cryptography.DataProtectionScope,,,,,"var token = tokenRaw.StartsWith(""enc:"", StringComparison.OrdinalIgnoreCase)              ? Encoding.UTF8.GetString(ProtectedData.Unprotect(Convert.FromBase64String(tokenRaw[4..]), null, DataProtectionScope.CurrentUser))              : tokenRaw;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,27,8,T:System.Security.Cryptography.DataProtectionScope,,,,,"var token = tokenRaw.StartsWith(""enc:"", StringComparison.OrdinalIgnoreCase)              ? Encoding.UTF8.GetString(ProtectedData.Unprotect(Convert.FromBase64String(tokenRaw[4..]), null, DataProtectionScope.CurrentUser))              : tokenRaw;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,27,8,F:System.Security.Cryptography.DataProtectionScope.CurrentUser,,,,,"var token = tokenRaw.StartsWith(""enc:"", StringComparison.OrdinalIgnoreCase)              ? Encoding.UTF8.GetString(ProtectedData.Unprotect(Convert.FromBase64String(tokenRaw[4..]), null, DataProtectionScope.CurrentUser))              : tokenRaw;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,27,8,T:System.Security.Cryptography.ProtectedData,,,,,"var token = tokenRaw.StartsWith(""enc:"", StringComparison.OrdinalIgnoreCase)              ? Encoding.UTF8.GetString(ProtectedData.Unprotect(Convert.FromBase64String(tokenRaw[4..]), null, DataProtectionScope.CurrentUser))              : tokenRaw;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,27,8,"M:System.Security.Cryptography.ProtectedData.Unprotect(System.Byte[],System.Byte[],System.Security.Cryptography.DataProtectionScope)",,,,,"var token = tokenRaw.StartsWith(""enc:"", StringComparison.OrdinalIgnoreCase)              ? Encoding.UTF8.GetString(ProtectedData.Unprotect(Convert.FromBase64String(tokenRaw[4..]), null, DataProtectionScope.CurrentUser))              : tokenRaw;"
